,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
918,12-2015,"4,144,000","27,238,000","2,995,000","2,435,000","1,703,000","$28,083,000","4,907,000",,"1,599,000","$71,449,000","2,247,000","965,000",,"29,182,000",,"3,281,000","$43,366,000","752,091","30,649,000","-2,086,000","-480,000","$71,449,000",AMGN,"5,452,000","26,428,000",,
919,09-2015,"3,226,000","27,894,000","2,901,000","2,531,000","2,292,000","$27,967,000","4,988,000",,"1,750,000","$71,869,000","1,250,000","1,067,000",,"30,511,000",,"3,117,000","$43,902,000","754,328","30,556,000","-2,352,000","-237,000","$71,869,000",AMGN,"4,848,000","26,287,000",,
920,06-2015,"3,795,000","26,198,000","2,779,000","2,567,000","2,397,000","$27,484,000","5,050,000",,"1,712,000","$71,209,000","1,250,000","934,000",,"30,702,000",,"2,905,000","$43,725,000","758,250","30,464,000","-2,912,000","-68,000","$71,209,000",AMGN,"4,707,000","26,711,000",,
921,03-2015,"2,864,000","24,254,000","2,548,000","2,686,000","2,712,000","$26,506,000","5,123,000",,"1,779,000","$68,952,000","500,000","888,000",,"29,841,000",,"2,939,000","$42,446,000","760,324","30,420,000","-4,051,000","137,000","$68,952,000",AMGN,"4,948,000","26,986,000",,
922,12-2014,"3,731,000","23,295,000","2,546,000","2,647,000","2,494,000","$25,778,000","5,223,000",,"1,592,000","$69,009,000","500,000","995,000",,"30,215,000",,"2,547,000","$43,231,000","758,861","30,410,000","-4,624,000","-8,000","$69,009,000",AMGN,"5,513,000","27,481,000",,
923,09-2014,"3,677,000","24,398,000","2,355,000","2,885,000","2,733,000","$25,325,000","5,267,000",,"1,545,000","$70,775,000","2,500,000","955,000",,"30,480,000",,"6,419,000","$45,450,000","760,670","30,127,000","-4,698,000","-104,000","$70,775,000",AMGN,"5,096,000","27,915,000",,
924,06-2014,"4,352,000","21,836,000","2,697,000","2,954,000","2,489,000","$24,382,000","5,371,000",0,"1,492,000","$69,534,000","2,500,000","982,000",,"30,828,000",,"6,458,000","$45,152,000","759,607","29,981,000","-5,476,000","-123,000","$69,534,000",AMGN,"4,384,000","28,343,000",,
925,03-2014,"3,687,000","16,115,000","2,514,000","2,966,000","3,020,000","$22,741,000","5,365,000","3,414,000","1,525,000","$67,004,000","2,505,000","949,000",,"29,519,000",,"6,541,000","$44,263,000","757,022","29,890,000","-7,023,000","-126,000","$67,004,000",AMGN,"4,749,000","28,398,000",,
926,12-2013,"3,805,000","15,596,000","2,697,000","3,019,000","2,250,000","$22,096,000","5,349,000","3,412,000","1,767,000","$66,125,000","2,505,000","787,000",,"29,623,000",,"2,961,000","$44,029,000","755,007","29,891,000","-7,634,000","-161,000","$66,125,000",AMGN,"4,655,000","28,230,000",,
927,09-2013,"8,281,000","14,277,000","3,230,000","2,838,000","2,049,000","$21,728,000","5,283,000","3,411,000","1,450,000","$57,073,000","11,000","895,000",,"27,178,000",,"3,324,000","$35,345,000","754,126","29,665,000","-7,840,000","-97,000","$57,073,000",AMGN,"3,937,000","16,254,000",,
928,06-2013,"5,806,000","16,212,000","2,674,000","2,773,000","2,208,000","$20,594,000","5,293,000",0,"1,290,000","$52,610,000","7,000","1,006,000",,"23,908,000",,"3,324,000","$32,016,000","753,356","29,519,000","-8,854,000","-71,000","$52,610,000",AMGN,"3,771,000","16,354,000",,
929,03-2013,"2,530,000","18,741,000","2,528,000","2,737,000","2,159,000","$19,491,000","5,296,000",,"1,148,000","$51,640,000","7,000","940,000",,"23,885,000",,"3,122,000","$32,149,000","749,977","29,465,000","-10,111,000","137,000","$51,640,000",AMGN,"4,195,000","16,501,000",,
930,12-2012,"3,257,000","20,804,000","2,518,000","2,744,000","1,886,000","$19,060,000","5,326,000",,"1,133,000","$54,298,000","2,495,000","905,000",,"24,034,000",,"3,013,000","$35,238,000","748,430","29,337,000","-10,423,000","146,000","$54,298,000",AMGN,"4,791,000","16,630,000",,
931,09-2012,"5,823,000","19,551,000","2,696,000","2,769,000","1,766,000","$19,902,000","5,381,000",,"1,193,000","$55,448,000","2,458,000","878,000",,"24,020,000",,"3,159,000","$35,546,000","767,355","29,103,000","-9,348,000","147,000","$55,448,000",AMGN,"5,031,000","16,269,000",,
932,06-2012,"5,849,000","16,626,000","2,708,000","2,592,000","1,787,000","$19,239,000","5,437,000",,"1,329,000","$52,226,000","2,416,000","884,000",,"21,962,000",,"2,993,000","$32,987,000","770,769","28,468,000","-9,380,000","151,000","$52,226,000",AMGN,"4,732,000","15,898,000",,
933,03-2012,"4,207,000","15,167,000","2,988,000","2,499,000","1,994,000","$18,874,000","5,392,000",,"1,437,000","$49,250,000","2,381,000","891,000",,"19,028,000",,"3,050,000","$30,376,000","777,708","28,212,000","-9,444,000","106,000","$49,250,000",AMGN,"5,026,000","15,566,000",,
934,12-2011,"6,946,000","13,695,000","2,896,000","2,484,000","1,572,000","$19,029,000","5,420,000",,"1,524,000","$48,871,000","84,000","642,000",,"21,344,000",,"2,744,000","$29,842,000","791,432","27,777,000","-8,919,000","171,000","$48,871,000",AMGN,"5,028,000","14,334,000",,
935,09-2011,"3,891,000","13,785,000","2,725,000","2,357,000","1,672,000","$23,553,000","5,391,000",,"1,493,000","$45,765,000","84,000","734,000",,"13,881,000",,"3,016,000","$22,212,000","876,544","27,602,000","-4,167,000","118,000","$45,765,000",AMGN,"4,197,000","14,451,000",,
936,06-2011,"5,998,000","13,174,000","2,713,000","2,230,000","1,366,000","$25,614,000","5,516,000",,"1,363,000","$46,936,000","83,000","870,000",,N/A,,"16,740,000","$21,322,000","924,091","27,514,000","-1,945,000","45,000","$46,936,000",AMGN,"3,629,000","14,576,000",,
937,03-2011,"1,266,000","14,092,000","2,517,000","2,098,000","1,716,000","$24,984,000","5,455,000",,"1,258,000","$42,714,000","83,000","832,000",,N/A,,"13,481,000","$17,730,000","929,731","27,376,000","-2,383,000","-9,000","$42,714,000",AMGN,"3,334,000","14,312,000",,
938,12-2010,"3,287,000","14,135,000","2,335,000","2,022,000","1,350,000","$23,944,000","5,522,000",,"1,271,000","$43,486,000","2,488,000","716,000",,"10,874,000",,"2,098,000","$19,542,000","932,453","27,299,000","-3,508,000","153,000","$43,486,000",AMGN,"3,366,000","13,564,000",,
939,03-2023,"3,488,000","3,188,000","3,691,000","6,858,000","1,848,000","$19,698,000","5,281,000",,"11,702,000","$48,362,000","499,000","1,430,000","4,433,000","15,486,000","277,000","4,124,000","$28,664,000","1,114,000",N/A,"19,280,000","418,000","$48,362,000",QCOM,"1,227,000","12,306,000",,
940,12-2022,"4,808,000","3,430,000","3,960,000","6,932,000","1,968,000","$18,810,000","5,215,000",,"11,339,000","$50,014,000","1,446,000","2,562,000","4,324,000","15,431,000","289,000","4,115,000","$31,204,000","1,115,000",N/A,"18,517,000","293,000","$50,014,000",QCOM,"1,460,000","12,362,000",,
941,09-2022,"2,773,000","3,609,000","5,643,000","6,341,000","2,358,000","$18,013,000","5,168,000",,"10,732,000","$49,014,000","1,945,000","3,796,000","4,270,000","13,537,000","369,000","3,982,000","$31,001,000","1,121,000","195,000","17,840,000","-22,000","$49,014,000",QCOM,"1,486,000","12,390,000",,
942,06-2022,"2,676,000","4,172,000","3,804,000","5,418,000","2,929,000","$16,048,000","5,038,000",,"10,310,000","$47,020,000","1,945,000","3,752,000","4,091,000","13,600,000","463,000","3,883,000","$30,972,000","1,123,000",N/A,"15,830,000","218,000","$47,020,000",QCOM,"1,578,000","12,673,000",,
943,03-2022,"7,173,000","4,373,000","4,084,000","4,555,000","1,425,000","$13,328,000","4,893,000",,"9,280,000","$44,302,000","3,485,000","3,724,000","4,565,000","12,195,000","534,000","3,640,000","$30,974,000","1,120,000",N/A,"13,113,000","215,000","$44,302,000",QCOM,"1,124,000","8,519,000",,
944,12-2021,"6,607,000","4,703,000","4,032,000","3,861,000","1,019,000","$11,333,000","4,723,000",,"9,238,000","$42,820,000","2,042,000","3,526,000","4,661,000","13,708,000","604,000","3,562,000","$31,487,000","1,127,000",N/A,"11,275,000","58,000","$42,820,000",QCOM,"1,440,000","8,637,000",,
945,09-2021,"7,116,000","5,298,000","3,579,000","3,228,000","854,000","$9,950,000","4,559,000",,"7,902,000","$41,240,000","2,044,000","2,750,000","5,014,000","13,701,000","612,000","3,561,000","$31,290,000","1,120,000",N/A,"9,822,000","128,000","$41,240,000",QCOM,"1,531,000","8,704,000",,
946,06-2021,"7,399,000","5,508,000","2,952,000","3,133,000","701,000","$8,177,000","4,424,000",,"5,881,000","$38,769,000","2,045,000","2,709,000","4,585,000","13,695,000","618,000","3,248,000","$30,592,000","1,128,000",N/A,"7,993,000","184,000","$38,769,000",QCOM,"1,503,000","8,771,000",,
947,03-2021,"6,000,000","5,526,000","3,346,000","2,668,000","759,000","$7,424,000","4,186,000",,"5,801,000","$37,168,000","500,000","2,548,000","4,442,000","15,235,000","586,000","3,161,000","$29,744,000","1,128,000",N/A,"7,143,000","281,000","$37,168,000",QCOM,"994,000","8,882,000",,
948,12-2020,"7,076,000","5,222,000","4,148,000","2,552,000","794,000","$7,380,000","4,033,000",,"5,755,000","$37,479,000","500,000","2,429,000","4,605,000","15,231,000","540,000","3,146,000","$30,099,000","1,136,000","113,000","6,974,000","293,000","$37,479,000",QCOM,"1,149,000","7,899,000",,
949,09-2020,"6,707,000","4,507,000","4,003,000","2,598,000","704,000","$6,077,000","3,711,000",,"5,388,000","$35,594,000","500,000","2,248,000","4,303,000","15,226,000","568,000","4,858,000","$29,517,000","1,131,000","586,000","5,284,000","207,000","$35,594,000",QCOM,"1,053,000","7,976,000",,
950,06-2020,"6,120,000","4,480,000","1,847,000","2,343,000","768,000","$3,306,000","3,487,000",,"5,235,000","$32,328,000","500,000","2,046,000","3,798,000","15,425,000","550,000","4,819,000","$29,022,000","1,128,266","113,000","3,081,000","112,000","$32,328,000",QCOM,"1,020,000","8,048,000",,
951,03-2020,"8,403,000","1,543,000","3,081,000","1,700,000","586,000","$3,045,000","3,358,000",,"5,084,000","$31,938,000","2,499,000","2,061,000","3,986,000","13,449,000","529,000","4,702,000","$28,893,000","1,124,928",N/A,"2,990,000","55,000","$31,938,000",QCOM,"699,000","8,183,000",,
952,12-2019,"11,109,000","314,000","2,737,000","1,420,000","625,000","$4,513,000","3,171,000",,"5,393,000","$33,111,000","2,498,000","1,718,000","3,528,000","13,437,000","511,000","2,852,000","$28,598,000","1,143,043",N/A,"4,376,000","137,000","$33,111,000",QCOM,"939,000","8,342,000",,
953,09-2019,"11,839,000","421,000","2,471,000","1,400,000","634,000","$4,909,000","3,081,000",,"4,657,000","$32,957,000","2,496,000","1,368,000","3,458,000","13,437,000","565,000","2,428,000","$28,048,000","1,141,845","343,000","4,466,000","100,000","$32,957,000",QCOM,"1,048,000","8,454,000",,
954,06-2019,"13,923,000","435,000","2,390,000","1,774,000","682,000","$5,463,000","3,037,000",0,"3,234,000","$34,133,000","3,000,000","1,587,000","4,725,000","13,426,000","527,000","1,026,000","$28,670,000","1,215,658","581,000","4,687,000","195,000","$34,133,000",QCOM,"1,014,000","8,658,000",,
955,03-2019,"10,135,000","195,000","3,638,000","1,725,000","631,000","$3,866,000","2,945,000",0,"5,945,000","$34,023,000","998,000","1,667,000","6,741,000","15,405,000","478,000","1,056,000","$30,157,000","1,215,699","384,000","3,309,000","173,000","$34,023,000",QCOM,"633,000","8,809,000",,
956,12-2018,"10,066,000","249,000","3,426,000","1,698,000","855,000","$3,617,000","2,932,000",0,"5,979,000","$34,246,000","998,000","1,422,000","6,831,000","15,388,000","484,000","3,265,000","$30,629,000","1,210,306",N/A,"3,415,000","202,000","$34,246,000",QCOM,"821,000","9,041,000",,
957,09-2018,"11,777,000","311,000","2,904,000","1,693,000","699,000","$807,000","2,975,000",0,"2,906,000","$32,718,000","1,005,000","1,825,000","6,978,000","15,365,000","500,000","1,225,000","$31,911,000","1,212,163",N/A,"542,000","265,000","$32,718,000",QCOM,"1,081,000","9,453,000",,
958,06-2018,"35,619,000","291,000","3,163,000","1,785,000","3,460,000","$23,068,000","3,073,000","35,000","4,860,000","$62,090,000","7,103,000","1,644,000","5,579,000","15,378,000","507,000","5,724,000","$39,022,000","1,469,111",N/A,"22,745,000","323,000","$62,090,000",QCOM,"1,379,000","9,804,000",,
959,03-2018,"37,946,000","1,625,000","3,535,000","1,797,000","641,000","$23,819,000","3,224,000","35,000","5,212,000","$64,126,000","3,733,000","1,454,000","5,709,000","19,361,000","502,000","6,483,000","$40,307,000","1,482,622","495,000","22,779,000","545,000","$64,126,000",QCOM,"1,262,000","10,111,000",,
960,12-2017,"33,362,000","2,041,000","3,053,000","1,872,000","638,000","$23,924,000","3,224,000","4,447,000","5,528,000","$64,351,000","3,465,000","1,685,000","5,349,000","19,381,000","487,000","7,113,000","$40,427,000","1,480,363","265,000","23,273,000","386,000","$64,351,000",QCOM,"1,041,000","10,186,000",,
961,09-2017,"35,029,000","2,279,000","3,632,000","2,035,000","618,000","$30,746,000","3,216,000","1,270,000","7,047,000","$65,486,000","2,495,000","1,971,000","4,756,000","19,398,000","502,000","2,431,000","$34,740,000","1,474,165","274,000","30,088,000","384,000","$65,486,000",QCOM,"1,183,000","10,360,000",,
962,06-2017,"14,909,000","5,954,000","3,532,000","2,002,000","624,000","$31,283,000","3,164,000","16,889,000","6,902,000","$64,379,000","2,495,000","1,508,000","3,558,000","19,403,000","513,000","2,420,000","$33,096,000","1,476,067","225,000","30,778,000","280,000","$64,379,000",QCOM,"1,089,000","10,403,000",,
963,03-2017,"7,124,000","2,858,000","4,201,000","2,066,000","659,000","$31,334,000","3,065,000","18,876,000","6,649,000","$56,079,000","1,998,000","1,289,000","5,450,000","9,939,000","513,000","2,441,000","$24,745,000","1,477,437","346,000","30,768,000","220,000","$56,079,000",QCOM,"895,000","10,581,000",,
964,12-2016,"6,885,000","3,927,000","2,085,000","1,910,000","972,000","$31,206,000","2,270,000","18,973,000","6,320,000","$52,366,000","1,749,000","1,648,000","3,245,000","9,935,000","487,000","954,000","$21,160,000","1,477,041","214,000","30,815,000","177,000","$52,366,000",QCOM,"865,000","9,024,000",N/A,
965,09-2016,"5,946,000","12,702,000","2,219,000","1,556,000","558,000","$31,768,000","2,306,000","13,702,000","4,191,000","$52,359,000","1,749,000","1,858,000","2,261,000","10,008,000","509,000","895,000","$20,591,000","1,476,887","414,000","30,936,000","418,000","$52,359,000",QCOM,"934,000","9,179,000",N/A,
966,06-2016,"5,885,000","11,225,000","1,939,000","1,338,000","592,000","$30,638,000","2,341,000","13,922,000","4,218,000","$50,786,000","1,749,000","1,572,000","2,113,000","10,024,000","535,000","856,000","$20,148,000","1,473,648","169,000","30,134,000","335,000","$50,786,000",QCOM,"874,000","9,326,000",N/A,
967,03-2016,"5,775,000","10,627,000","1,738,000","1,427,000","590,000","$29,637,000","2,391,000","13,582,000","4,377,000","$50,060,000","1,949,000","1,452,000","2,049,000","9,993,000","791,000","878,000","$20,423,000","1,468,915",N/A,"29,485,000","152,000","$50,060,000",QCOM,"785,000","9,553,000",N/A,
968,12-2015,"6,913,000","9,615,000","1,323,000","1,216,000","664,000","$30,233,000","2,484,000","14,063,000","3,607,000","$50,229,000","1,000,000","1,359,000","2,610,000","9,950,000","639,000","915,000","$19,996,000","1,494,887",N/A,"30,172,000","61,000","$50,229,000",QCOM,"895,000","9,737,000","607,000",
969,09-2015,"7,560,000","9,761,000","1,964,000","1,492,000","687,000","$31,414,000","2,534,000","13,626,000","3,316,000","$50,796,000","1,000,000","1,300,000","2,356,000","9,969,000","583,000","817,000","$19,382,000","1,503,094",N/A,"31,226,000","188,000","$50,796,000",QCOM,"861,000","9,221,000","635,000",
970,06-2015,"9,987,000","11,344,000","1,961,000","1,583,000","581,000","$33,196,000","2,574,000","13,894,000","3,235,000","$52,295,000","1,000,000","1,412,000","2,294,000","9,913,000","680,000","528,000","$19,099,000","1,571,202",N/A,"32,699,000","497,000","$52,295,000",QCOM,"697,000","6,664,000","472,000",
971,03-2015,"5,492,000","10,063,000","2,058,000","1,861,000","733,000","$37,834,000","2,523,000","14,055,000","2,985,000","$47,173,000","1,096,000","1,683,000","1,868,000",N/A,"778,000","504,000","$9,339,000","1,629,569","4,956,000","32,411,000","467,000","$47,173,000",QCOM,"744,000","6,870,000","533,000",
972,12-2014,"6,325,000","11,463,000","2,239,000","1,761,000","528,000","$38,819,000","2,531,000","13,815,000","2,430,000","$48,447,000",N/A,"2,482,000","2,252,000",N/A,"885,000","461,000","$9,628,000","1,649,560","6,334,000","32,061,000","424,000","$48,447,000",QCOM,"786,000","6,910,000","445,000",
973,09-2014,"7,907,000","9,658,000","2,412,000","1,458,000","401,000","$39,166,000","2,487,000","14,457,000","2,149,000","$48,574,000",N/A,"2,183,000","2,243,000",N/A,"785,000","428,000","$9,408,000","1,662,601",N/A,"30,799,000","631,000","$48,574,000",QCOM,"802,000","7,068,000","577,000",
974,06-2014,"7,944,000","10,209,000","2,084,000","1,185,000","535,000","$38,787,000","2,555,000","14,563,000","2,038,000","$48,355,000",,"1,900,000","2,676,000",,"705,000","380,000","$9,568,000","1,676,024","8,346,000","29,618,000","823,000","$48,355,000",QCOM,"740,000","6,791,000","451,000",
975,03-2014,"6,337,000","10,291,000","2,217,000","1,147,000","521,000","$38,253,000","2,573,000","15,425,000","1,944,000","$47,875,000",,"1,551,000","2,986,000",,"625,000","355,000","$9,622,000","1,687,874","9,347,000","28,097,000","809,000","$47,875,000",QCOM,"739,000","6,925,000","495,000",
976,12-2013,"8,292,000","8,988,000","1,327,000","1,064,000","510,000","$37,027,000","2,562,000","14,330,000","2,103,000","$46,282,000",,"1,375,000","2,762,000",,"470,000","377,000","$9,255,000","1,691,080",N/A,"26,737,000","784,000","$46,282,000",QCOM,"706,000","6,702,000","404,000",
977,09-2013,"6,142,000","8,824,000","2,142,000","1,302,000","572,000","$36,087,000","2,995,000","14,440,000","1,997,000","$45,516,000",,"1,554,000","2,319,000",,"501,000","550,000","$9,429,000","1,689,436",N/A,"25,461,000","752,000","$45,516,000",QCOM,"839,000","6,529,000","573,000",
978,06-2013,"2,533,000","8,928,000","1,949,000","1,727,000","506,000","$37,583,000","2,974,000","18,941,000","2,237,000","$46,809,000",,"1,850,000","1,983,000",,"482,000","521,000","$9,226,000","1,715,426",N/A,"24,564,000","703,000","$46,809,000",QCOM,"713,000","6,685,000","329,000",
979,03-2013,"4,093,000","9,400,000","1,889,000","1,484,000","582,000","$37,628,000","2,971,000","17,046,000","3,106,000","$47,599,000",N/A,"1,628,000","2,442,000",,"514,000","1,014,000","$9,971,000","1,727,835",,"23,599,000","1,038,000","$47,599,000",QCOM,"679,000","6,710,000","318,000",
980,12-2012,"4,293,000","8,982,000","1,647,000","1,277,000","595,000","$35,354,000","2,874,000","15,096,000","3,013,000","$44,841,000",N/A,"1,657,000","1,997,000",,"733,000","969,000","$9,487,000","1,718,130",,"22,172,000","900,000","$44,841,000",QCOM,"618,000","6,755,000","309,000",
981,09-2012,"3,807,000","8,567,000","1,459,000","1,030,000","473,000","$33,545,000","2,851,000","14,463,000","3,198,000","$43,012,000",N/A,"1,298,000","2,795,000",,"545,000","435,000","$9,467,000","1,704,029",,"20,701,000","888,000","$43,012,000",QCOM,"664,000","6,855,000","309,000",
982,06-2012,"3,412,000","9,983,000","1,250,000","820,000","400,000","$32,605,000","2,888,000","13,152,000","2,340,000","$42,445,000","968,000","1,116,000","2,277,000",,"547,000","519,000","$9,840,000","1,703,349",,"19,868,000","641,000","$42,445,000",QCOM,"608,000","7,688,000","512,000",
983,03-2012,"5,998,000","9,081,000","1,189,000","781,000","327,000","$31,870,000","2,760,000","11,489,000","2,812,000","$41,531,000","1,039,000","1,250,000","1,580,000",,"558,000","620,000","$9,661,000","1,714,275",,"19,090,000","797,000","$41,531,000",QCOM,"572,000","6,609,000","485,000",
984,12-2011,"4,964,000","6,576,000","1,035,000","714,000","236,000","$28,497,000","2,607,000","10,438,000","3,810,000","$37,606,000","928,000","974,000","1,967,000",,"543,000","586,000","$9,109,000","1,691,418",,"17,237,000","511,000","$37,606,000",QCOM,"542,000","6,717,000","509,000",
985,09-2011,"5,462,000","6,190,000","993,000","765,000","346,000","$26,972,000","2,414,000","9,261,000","3,923,000","$36,422,000","994,000","969,000","2,072,000",,"610,000","628,000","$9,450,000","1,680,984",,"16,204,000","374,000","$36,422,000",QCOM,"644,000","6,531,000","537,000",
986,06-2011,"5,746,000","4,982,000","832,000","753,000","210,000","$26,301,000","2,267,000","9,493,000","4,214,000","$35,100,000","1,092,000","761,000","1,418,000",,"541,000","711,000","$8,799,000","1,679,739",,"15,516,000","774,000","$35,100,000",QCOM,"568,000","6,293,000","310,000",
987,03-2011,"6,367,000","6,658,000","715,000","606,000","174,000","$25,001,000","2,114,000","9,081,000","4,188,000","$33,824,000","1,100,000","666,000","1,474,000",,"518,000","709,000","$8,823,000","1,669,532",,"14,840,000","836,000","$33,824,000",QCOM,"558,000","3,591,000","330,000",
988,12-2010,"4,711,000","5,798,000","657,000","574,000","255,000","$22,736,000","2,361,000","8,598,000","3,499,000","$31,291,000","1,089,000","522,000","1,211,000",,"631,000","791,000","$8,555,000","1,643,746",,"14,161,000","757,000","$31,291,000",QCOM,"480,000","4,502,000","336,000",
989,03-2023,"534,000",,"2,851,000",,,"$12,902,000","36,602,000",,"4,793,000","$144,870,000","1,999,000","10,243,000",,"95,973,000",,"4,561,000","$131,968,000","150,575",,"-13,800,000","3,484,000","$144,870,000",CHTR,,"99,408,000",,
990,12-2022,"645,000",,"2,921,000",,,"$12,549,000","36,039,000",,"4,769,000","$144,523,000","1,510,000","10,555,000",,"96,093,000",,"4,569,000","$131,974,000","152,651",,"-14,821,000","3,430,000","$144,523,000",CHTR,,"99,698,000",,
991,09-2022,"480,000",,"2,841,000",,,"$12,350,000","35,005,000",,"4,911,000","$143,669,000","1,522,000","10,073,000",,"95,510,000",,"4,879,000","$131,319,000","155,672",,"-8,816,000","3,461,000","$143,669,000",CHTR,,"99,999,000",,
992,06-2022,"483,000",,"2,779,000",,,"$13,513,000","34,472,000",,"4,758,000","$143,258,000","1,533,000","9,862,000",,"94,468,000",,"4,522,000","$129,745,000","160,655",,"-10,001,000","3,634,000","$143,258,000",CHTR,,"100,290,000",,
993,03-2022,"2,431,000",,"2,530,000",,,"$15,944,000","34,173,000",,"3,650,000","$143,948,000","4,543,000","9,386,000",,"90,679,000",,"4,140,000","$128,004,000","167,858",,"-11,472,000","3,884,000","$143,948,000",CHTR,,"100,609,000",,
994,12-2021,"601,000",,"2,579,000",,,"$18,156,000","34,310,000",,"3,647,000","$142,491,000","2,997,000","9,461,000",,"88,564,000",,"3,993,000","$124,335,000","172,741",,"-12,675,000","4,106,000","$142,491,000",CHTR,,"100,968,000",,
995,09-2021,"466,000",,"2,645,000",,,"$21,526,000","34,179,000",,"3,523,000","$142,495,000","2,996,000","9,241,000",,"85,376,000",,"4,186,000","$120,969,000","179,291",,"-2,151,000","4,496,000","$142,495,000",CHTR,,"101,295,000",,
996,06-2021,"1,711,000",,"2,583,000",,,"$24,086,000","34,206,000",,"3,475,000","$144,026,000","1,002,000","9,036,000",,"86,962,000",,"4,124,000","$119,940,000","183,822",,"-3,368,000","4,744,000","$144,026,000",CHTR,,"101,663,000",,
997,03-2021,"772,000",,"2,395,000",,,"$27,181,000","34,184,000",,"3,531,000","$143,439,000","1,005,000","8,911,000",,"83,882,000",,"4,119,000","$116,258,000","188,666",,"-4,388,000","6,184,000","$143,439,000",CHTR,,"102,061,000",,
998,12-2020,"1,001,000",,"2,539,000",,,"$30,281,000","34,357,000",,"3,449,000","$144,206,000","1,008,000","8,867,000",,"81,744,000",,"4,043,000","$113,925,000","193,731",,"-5,195,000","6,476,000","$144,206,000",CHTR,,"102,491,000",,
999,09-2020,"1,283,000",,"2,068,000",,,"$33,712,000","34,196,000",,"3,011,000","$144,193,000","1,715,000","8,541,000",,"77,947,000",,"4,231,000","$110,481,000","199,875",,"2,016,000","6,806,000","$144,193,000",CHTR,,"102,926,000",,
1000,06-2020,"2,097,000",,"1,994,000",,,"$36,401,000","34,074,000",,"2,935,000","$145,136,000","706,000","8,436,000",,"77,663,000",,"4,031,000","$108,735,000","204,899",,"1,202,000","7,045,000","$145,136,000",CHTR,,"103,362,000",,
1001,03-2020,"2,908,000",,"2,091,000",,,"$36,722,000","34,096,000",,"2,866,000","$146,552,000","4,905,000","8,310,000",,"74,787,000",,"4,092,000","$109,830,000","206,458",,"436,000","7,094,000","$146,552,000",CHTR,,"103,831,000",,
1002,12-2019,"3,483,000",,"2,227,000",,,"$38,811,000","34,591,000",,"2,797,000","$148,188,000","3,500,000","8,885,000",,"75,578,000",,"3,595,000","$109,377,000","209,976",,"40,000","7,366,000","$148,188,000",CHTR,,"104,329,000",,
1003,09-2019,"508,000",,"2,284,000",,,"$40,522,000","34,218,000",,"2,829,000","$145,267,000","3,509,000","8,263,000",,"71,390,000",,"3,684,000","$104,745,000","214,780",,"3,734,000","7,546,000","$145,267,000",CHTR,,"104,832,000",,
1004,06-2019,"696,000",,"2,070,000",,,"$43,094,000","34,475,000",,"2,936,000","$146,085,000","1,522,000","8,145,000",,"71,784,000",,"3,738,000","$102,991,000","221,478",,"3,347,000","7,806,000","$146,085,000",CHTR,,"105,334,000",,
1005,03-2019,"1,451,000",,"1,578,000",,,"$43,643,000","34,859,000",,"2,777,000","$147,257,000","3,532,000","8,213,000",,"70,567,000",,"3,560,000","$103,614,000","223,408",,"3,033,000","7,907,000","$147,257,000",CHTR,,"105,870,000",,
1006,12-2018,"551,000",,"1,733,000",,,"$44,272,000","35,126,000",,"1,836,000","$146,130,000","3,290,000","8,805,000",,"69,537,000",,"2,773,000","$101,858,000","225,354",,"2,780,000","7,985,000","$146,130,000",CHTR,,"106,438,000",,
1007,09-2018,"612,000",,"1,736,000",,,"$45,228,000","34,740,000",,"1,607,000","$146,085,000","3,339,000","8,511,000",,"69,135,000",,"2,360,000","$100,857,000","228,918",,"4,828,000","8,121,000","$146,085,000",CHTR,,"107,009,000",,
1008,06-2018,"773,000",,"1,619,000",,,"$45,642,000","34,411,000",,"1,507,000","$146,251,000","5,387,000","8,637,000",,"66,730,000",,"2,413,000","$100,609,000","231,864",,"4,307,000","8,197,000","$146,251,000",CHTR,,"107,583,000",,
1009,03-2018,"576,000",,"1,409,000",,,"$47,125,000","34,002,000",,"1,563,000","$146,151,000","3,340,000","8,262,000",,"67,609,000",,"2,409,000","$99,026,000","237,464",,"4,034,000","8,356,000","$146,151,000",CHTR,,"108,188,000",,
1010,12-2017,"621,000",,"1,635,000",,,"$47,531,000","33,888,000",,"1,356,000","$146,623,000","2,045,000","9,045,000",,"68,186,000",,"2,438,000","$99,092,000","238,506",,"3,832,000","8,446,000","$146,623,000",CHTR,,"108,824,000",,
1011,09-2017,"2,164,000",,"1,652,000",,,"$42,578,000","33,300,000",,"1,337,000","$148,228,000","2,068,000","8,351,000",,"66,064,000",,"2,547,000","$105,650,000","248,610",,"1,206,000","9,347,000","$148,228,000",CHTR,,"109,459,000",,
1012,06-2017,"694,000",,"1,489,000",,,"$46,433,000","32,948,000",,"1,347,000","$146,960,000",N/A,"8,123,000",,"63,248,000",,"2,526,000","$100,527,000","257,884",,"1,158,000","9,801,000","$146,960,000",CHTR,,"110,101,000",,
