,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
2455,06-2017,"1,157,000","3,221,000","3,089,000",,"632,000","$10,483,000","1,284,000","198,000","887,000","$13,938,000",,"179,000",,"747,000","337,000","155,000","$3,455,000","590,623","6,000","10,316,000","33,000","$13,938,000",CTSH,"1,655,000","3,470,000",,
2456,03-2017,"1,308,000","2,966,000","3,039,000",,"529,000","$9,983,000","1,306,000","110,000","885,000","$13,629,000",,"189,000",,"772,000","397,000","155,000","$3,646,000","588,997","6,000","9,935,000","-17,000","$13,629,000",CTSH,"1,562,000","3,486,000",,
2457,12-2016,"2,034,000","3,135,000","2,905,000",,"526,000","$10,728,000","1,311,000","62,000","784,000","$14,262,000",,"175,000",,"797,000","306,000","162,000","$3,534,000","608,637","6,000","10,478,000","-114,000","$14,262,000",CTSH,"1,856,000","3,505,000",,
2458,09-2016,"1,550,300","3,308,300","2,915,700",,"425,500","$10,292,300","1,323,300","60,600","714,099","$13,716,700",,"171,500",,"821,600","281,700","140,100","$3,424,400","606,705","6,100","10,063,200","-56,200","$13,716,700",CTSH,"1,772,500","3,418,900",,
2459,06-2016,"1,684,500","2,796,700","2,878,500",,"399,200","$9,862,900","1,287,400","59,600","614,900","$13,140,100",,"164,500",,"840,000","321,700","138,600","$3,277,200","606,943","6,100","9,618,800","-95,700","$13,140,100",CTSH,"1,565,000","3,419,300",,
2460,03-2016,"1,523,800","2,927,900","2,751,300",,"367,900","$9,612,300","1,270,000",0,"570,900","$12,735,900",,"213,200",,"858,400","349,600","138,100","$3,123,600","605,870","6,100","9,366,400","-61,600","$12,735,900",CTSH,"1,325,100","3,324,100",,
2461,12-2015,"2,125,000","2,824,000","2,622,000",,"338,000","$9,278,000","1,271,000",0,"612,000","$13,061,000",,"165,000",,"877,000","324,000","140,000","$3,783,000","609,120","6,000","8,925,000","-106,000","$13,061,000",CTSH,"1,819,000","3,269,000",,
2462,09-2015,"1,476,700","2,574,000","2,556,600",,"264,700","$8,827,000","1,278,900",,"465,800","$12,267,600",,"160,100",,"900,000","262,700","129,200","$3,440,600","608,069","6,100","8,501,800","-113,300","$12,267,600",CTSH,"1,655,600","3,285,000","365,900",
2463,06-2015,"1,089,300","2,477,200","2,548,700",,"322,700","$8,540,800","1,277,300",,"437,500","$11,797,600",,"169,000",,"912,500","288,800","103,900","$3,256,800","609,529","6,100","8,104,600","-90,500","$11,797,600",CTSH,"1,348,700","3,311,400","333,500",
2464,03-2015,"1,271,400","2,078,400","2,448,100",,"336,900","$8,178,500","1,268,000",,"376,900","$11,383,400",,"181,400",,"925,000","330,900","111,200","$3,204,900","610,518","6,100","7,684,500","-119,300","$11,383,400",CTSH,"1,221,800","3,332,000","271,700",
